,obs_id,obs_name,valid_time_gmt,expire_time_gmt,day_ind,temp,dewPt,rh,wdir_cardinal,gust,wspd,pressure,precip_hrly,wx_phrase,location_id,record_start_date,record_end_date
0,KLWT,Lewistown,1641023640,1641030840,N,-12,-18.0,74.0,ESE,,8.0,25.58,0.0,Cloudy,LWT,2022-01-01 07:54:00,2022-01-01 09:54:00
1,KLWT,Lewistown,1641027240,1641034440,N,-11,-18.0,71.0,ESE,,7.0,25.57,0.0,Cloudy,LWT,2022-01-01 08:54:00,2022-01-01 10:54:00
2,KLWT,Lewistown,1641030840,1641038040,N,-12,-19.0,71.0,E,,5.0,25.59,0.0,Fair,LWT,2022-01-01 09:54:00,2022-01-01 11:54:00
3,KLWT,Lewistown,1641034440,1641041640,N,-15,-19.0,82.0,SSE,,5.0,25.6,0.0,Fair,LWT,2022-01-01 10:54:00,2022-01-01 12:54:00
4,KLWT,Lewistown,1641038040,1641045240,N,-16,-20.0,82.0,SSE,,5.0,25.59,0.0,Fair,LWT,2022-01-01 11:54:00,2022-01-01 13:54:00
5,KLWT,Lewistown,1641041640,1641048840,N,-15,-20.0,78.0,ESE,,6.0,25.58,0.0,Fair,LWT,2022-01-01 12:54:00,2022-01-01 14:54:00
6,KLWT,Lewistown,1641045240,1641052440,N,-15,-20.0,78.0,ESE,,7.0,25.59,0.0,Fair,LWT,2022-01-01 13:54:00,2022-01-01 15:54:00
7,KLWT,Lewistown,1641048840,1641056040,D,-14,-19.0,79.0,SE,,9.0,25.59,0.0,Fair,LWT,2022-01-01 14:54:00,2022-01-01 16:54:00
8,KLWT,Lewistown,1641052440,1641059640,D,-14,-18.0,82.0,SE,,7.0,25.6,0.0,Fair,LWT,2022-01-01 15:54:00,2022-01-01 17:54:00
9,KLWT,Lewistown,1641056040,1641063240,D,-10,-15.0,78.0,ESE,,7.0,25.59,0.0,Fair,LWT,2022-01-01 16:54:00,2022-01-01 18:54:00
10,KLWT,Lewistown,1641059640,1641066840,D,-3,-9.0,75.0,ESE,,5.0,25.59,0.0,Fair,LWT,2022-01-01 17:54:00,2022-01-01 19:54:00
11,KLWT,Lewistown,1641063240,1641070440,D,3,-6.0,66.0,CALM,,0.0,25.56,0.0,Fair,LWT,2022-01-01 18:54:00,2022-01-01 20:54:00
12,KLWT,Lewistown,1641066840,1641074040,D,7,-4.0,61.0,CALM,,0.0,25.54,0.0,Fair,LWT,2022-01-01 19:54:00,2022-01-01 21:54:00
13,KLWT,Lewistown,1641070440,1641077640,D,10,-5.0,51.0,CALM,,0.0,25.53,0.0,Fair,LWT,2022-01-01 20:54:00,2022-01-01 22:54:00
14,KLWT,Lewistown,1641074040,1641081240,D,13,-5.0,45.0,CALM,,0.0,25.54,0.0,Fair,LWT,2022-01-01 21:54:00,2022-01-01 23:54:00
15,KLWT,Lewistown,1641077640,1641084840,D,7,-5.0,58.0,SW,,14.0,25.53,0.0,Fair,LWT,2022-01-01 22:54:00,2022-01-02 00:54:00
16,KLWT,Lewistown,1641081240,1641088440,N,5,-5.0,63.0,WSW,,12.0,25.54,0.0,Fair,LWT,2022-01-01 23:54:00,2022-01-02 01:54:00
17,KLWT,Lewistown,1641084840,1641092040,N,13,3.0,65.0,SW,,24.0,25.53,0.0,Fair / Windy,LWT,2022-01-02 00:54:00,2022-01-02 02:54:00
